section,section_sr,section_en,category_sr,category_en,subcategory_sr,subcategory_en,display,name_sr,name_en,note_sr,note_en,price,image
coffee,Безалкохолно,Non-alcoholic,Кафа,Coffee,,,list,Еспресо,Espresso,арабика 100%,arabica 100%,190,
coffee,Безалкохолно,Non-alcoholic,Кафа,Coffee,,,list,Еспресо,Espresso,арабика 80% + робуста 20%,arabica 80% + robusta 20%,190,
coffee,Безалкохолно,Non-alcoholic,Кафа,Coffee,,,list,Дупли еспресо,Double espresso,,,260,
coffee,Безалкохолно,Non-alcoholic,Кафа,Coffee,,,list,Еспресо са млеком,Espresso with milk,,,200,
coffee,Безалкохолно,Non-alcoholic,Кафа,Coffee,,,list,Дупли еспресо са млеком,Double espresso with milk,,,270,
coffee,Безалкохолно,Non-alcoholic,Кафа,Coffee,,,list,Еспресо са сојиним млеком,Espresso with soy milk,,,210,
coffee,Безалкохолно,Non-alcoholic,Кафа,Coffee,,,list,Американо,Americano,,,190,
coffee,Безалкохолно,Non-alcoholic,Кафа,Coffee,,,list,Макијато,Macchiato,,,210,
coffee,Безалкохолно,Non-alcoholic,Кафа,Coffee,,,list,Капућино,Cappuccino,,,230,
coffee,Безалкохолно,Non-alcoholic,Кафа,Coffee,,,list,Капућино са сојиним млеком,Cappuccino with soy milk,,,260,
coffee,Безалкохолно,Non-alcoholic,Кафа,Coffee,,,list,Фредо еспресо,Freddo espresso,,,260,
coffee,Безалкохолно,Non-alcoholic,Кафа,Coffee,,,list,Фредо капућино,Freddo cappuccino,,,280,
coffee,Безалкохолно,Non-alcoholic,Кафа,Coffee,,,list,Лате,Latte,,,260,
coffee,Безалкохолно,Non-alcoholic,Кафа,Coffee,,,list,Нес,Nescafé,,,250,
coffee,Безалкохолно,Non-alcoholic,Кафа,Coffee,,,list,Нес са сојиним млеком,Nescafé with soy milk,,,340,
coffee,Безалкохолно,Non-alcoholic,Кафа,Coffee,,,list,Нес Бејлис,Nescafé Baileys,,,350,
coffee,Безалкохолно,Non-alcoholic,Кафа,Coffee,,,list,Домаћа кафа »Зрнослава«,»Zrnoslava« traditional coffee,,,150,
coffee,Безалкохолно,Non-alcoholic,Топли напици,Hot Drinks,,,list,Милфорд,Milford tea,камилица / нана / црни / јагода-јогурт / јабука-цимет,chamomile / mint / black / strawberry-yogurt / apple-cinnamon,190,
coffee,Безалкохолно,Non-alcoholic,Топли напици,Hot Drinks,,,list,Топла чоколада,Hot chocolate,бела / црна,white / dark,320,
coffee,Безалкохолно,Non-alcoholic,Топли напици,Hot Drinks,,,list,Кувано вино,Mulled wine,,,320,
coffee,Безалкохолно,Non-alcoholic,Цеђени сокови,Fresh Juices,,,list,Лимунада,Lemonade,,,270,
coffee,Безалкохолно,Non-alcoholic,Цеђени сокови,Fresh Juices,,,list,Цеђена поморанџа,Fresh orange juice,,,360,
coffee,Безалкохолно,Non-alcoholic,Цеђени сокови,Fresh Juices,,,list,Цеђени грејп,Fresh grapefruit juice,,,390,
